,death_prob,rep_prob,cancer_prob,guide,init_cells,run,before,after,nj,cassiopeia,reassign_delta,nj_delta
0,0.1,0.75,0.001,sss,1,0,0.825,0.743,0.759,0.7653721682847896,-0.08199999999999996,0.016000000000000014
1,0.1,0.75,0.001,sss,1,1,0.917,0.838,0.84,0.8929292929292929,-0.07900000000000007,0.0020000000000000018
2,0.1,0.75,0.001,sss,1,2,0.912,0.76,0.752,0.8234463276836158,-0.15200000000000002,-0.008000000000000007
3,0.1,0.75,0.001,ssm,1,0,0.964,0.816,0.821,0.8101092896174863,-0.14800000000000002,0.0050000000000000044
4,0.1,0.75,0.001,ssm,1,1,0.869,0.858,0.814,0.9105367793240556,-0.01100000000000001,-0.04400000000000004
5,0.1,0.75,0.001,ssm,1,2,0.881,0.941,0.944,0.7545008183306056,0.05999999999999994,0.0030000000000000027
6,0.1,0.75,0.001,smm,1,0,0.987,0.993,0.993,0.9580536912751678,0.006000000000000005,0.0
7,0.1,0.75,0.001,smm,1,1,0.986,0.961,0.961,0.7168949771689498,-0.025000000000000022,0.0
8,0.1,0.75,0.001,smm,1,2,0.681,0.606,0.553,0.6985583224115334,-0.07500000000000007,-0.052999999999999936
9,0.1,0.75,0.001,ssf,1,0,0.989,0.943,0.937,0.968,-0.04600000000000004,-0.005999999999999894
10,0.1,0.75,0.001,ssf,1,1,0.988,0.982,0.983,0.9827586206896551,-0.006000000000000005,0.0010000000000000009
11,0.1,0.75,0.001,ssf,1,2,0.968,0.966,0.957,0.948943661971831,-0.0020000000000000018,-0.009000000000000008
12,0.1,0.75,0.001,smf,1,0,0.736,0.736,0.717,0.7430555555555556,0.0,-0.019000000000000017
13,0.1,0.75,0.001,smf,1,1,0.975,0.961,0.947,0.9745098039215686,-0.014000000000000012,-0.014000000000000012
14,0.1,0.75,0.001,smf,1,2,0.974,0.863,0.851,0.972457627118644,-0.11099999999999999,-0.01200000000000001
15,0.1,0.75,0.001,sff,1,0,0.985,0.963,0.973,0.8686567164179104,-0.02200000000000002,0.010000000000000009
16,0.1,0.75,0.001,sff,1,1,0.99,0.999,0.997,0.9974619289340102,0.009000000000000008,-0.0020000000000000018
17,0.1,0.75,0.001,sff,1,2,0.911,0.884,0.886,1.0,-0.027000000000000024,0.0020000000000000018
18,0.1,0.75,0.001,mmm,1,0,0.988,0.979,0.985,0.9859154929577465,-0.009000000000000008,0.006000000000000005
19,0.1,0.75,0.001,mmm,1,1,0.98,0.982,0.988,0.9694555112881806,0.0020000000000000018,0.006000000000000005
20,0.1,0.75,0.001,mmm,1,2,0.848,0.812,0.79,0.88125,-0.03599999999999992,-0.02200000000000002
21,0.1,0.75,0.001,mmf,1,0,0.971,0.961,0.965,0.9621052631578947,-0.010000000000000009,0.0040000000000000036
22,0.1,0.75,0.001,mmf,1,1,0.982,0.895,0.908,0.9832572298325722,-0.08699999999999997,0.013000000000000012
23,0.1,0.75,0.001,mmf,1,2,0.987,0.987,0.99,0.9684908789386402,0.0,0.0030000000000000027
24,0.1,0.75,0.001,mff,1,0,0.949,0.881,0.878,0.9479392624728851,-0.06799999999999995,-0.0030000000000000027
25,0.1,0.75,0.001,mff,1,1,0.952,0.947,0.951,0.9898305084745763,-0.0050000000000000044,0.0040000000000000036
26,0.1,0.75,0.001,mff,1,2,0.909,0.941,0.94,0.8989690721649485,0.03199999999999992,-0.0010000000000000009
27,0.1,0.75,0.001,fff,1,0,0.973,0.979,0.986,0.9748427672955975,0.006000000000000005,0.007000000000000006
28,0.1,0.75,0.001,fff,1,1,0.808,0.836,0.841,0.9182098765432098,0.027999999999999914,0.0050000000000000044
29,0.1,0.75,0.001,fff,1,2,0.926,0.997,0.997,0.9862385321100917,0.07099999999999995,0.0
30,0.1,0.75,0.01,sss,1,0,0.981,0.945,0.934,0.9557894736842105,-0.03600000000000003,-0.010999999999999899
31,0.1,0.75,0.01,sss,1,1,0.944,0.867,0.853,0.912828947368421,-0.07699999999999996,-0.014000000000000012
32,0.1,0.75,0.01,sss,1,2,0.814,0.768,0.784,0.727427597955707,-0.04599999999999993,0.016000000000000014
33,0.1,0.75,0.01,ssm,1,0,0.937,0.892,0.894,0.9302325581395349,-0.04500000000000004,0.0020000000000000018
34,0.1,0.75,0.01,ssm,1,1,0.997,0.981,0.975,0.8693877551020408,-0.016000000000000014,-0.006000000000000005
35,0.1,0.75,0.01,ssm,1,2,0.965,0.955,0.952,0.7331378299120235,-0.010000000000000009,-0.0030000000000000027
36,0.1,0.75,0.01,smm,1,0,0.967,0.959,0.955,0.9270976616231087,-0.008000000000000007,-0.0040000000000000036
37,0.1,0.75,0.01,smm,1,1,0.837,0.736,0.718,0.7917241379310345,-0.10099999999999998,-0.018000000000000016
38,0.1,0.75,0.01,smm,1,2,0.979,0.822,0.821,0.948051948051948,-0.15700000000000003,-0.0010000000000000009
39,0.1,0.75,0.01,ssf,1,0,0.961,0.946,0.958,0.9442446043165468,-0.015000000000000013,0.01200000000000001
40,0.1,0.75,0.01,ssf,1,1,0.987,0.969,0.959,0.9539594843462247,-0.018000000000000016,-0.010000000000000009
41,0.1,0.75,0.01,ssf,1,2,0.773,0.761,0.799,0.7490774907749077,-0.01200000000000001,0.038000000000000034
42,0.1,0.75,0.01,smf,1,0,0.99,0.976,0.977,0.9860529986052998,-0.014000000000000012,0.0010000000000000009
43,0.1,0.75,0.01,smf,1,1,0.892,0.908,0.902,0.9030837004405287,0.016000000000000014,-0.006000000000000005
44,0.1,0.75,0.01,smf,1,2,0.962,0.924,0.926,1.0,-0.03799999999999992,0.0020000000000000018
45,0.1,0.75,0.01,sff,1,0,0.874,0.856,0.86,0.8895966029723992,-0.018000000000000016,0.0040000000000000036
46,0.1,0.75,0.01,sff,1,1,0.916,0.9,0.916,1.0,-0.016000000000000014,0.016000000000000014
47,0.1,0.75,0.01,sff,1,2,0.989,0.981,0.981,0.9769585253456221,-0.008000000000000007,0.0
48,0.1,0.75,0.01,mmm,1,0,0.852,0.919,0.945,0.7541191381495564,0.06700000000000006,0.025999999999999912
49,0.1,0.75,0.01,mmm,1,1,0.602,0.579,0.558,0.8094117647058824,-0.02300000000000002,-0.020999999999999908
50,0.1,0.75,0.01,mmm,1,2,0.91,0.863,0.857,0.8652037617554859,-0.04700000000000004,-0.006000000000000005
51,0.1,0.75,0.01,mmf,1,0,0.978,0.91,0.908,0.8782287822878229,-0.06799999999999995,-0.0020000000000000018
52,0.1,0.75,0.01,mmf,1,1,0.918,0.924,0.931,0.9135446685878963,0.006000000000000005,0.007000000000000006
53,0.1,0.75,0.01,mmf,1,2,0.978,0.877,0.886,0.9750445632798574,-0.10099999999999998,0.009000000000000008
54,0.1,0.75,0.01,mff,1,0,0.95,0.955,0.944,0.9710467706013363,0.0050000000000000044,-0.01100000000000001
55,0.1,0.75,0.01,mff,1,1,0.989,0.995,0.991,0.9875222816399287,0.006000000000000005,-0.0040000000000000036
56,0.1,0.75,0.01,mff,1,2,0.989,0.981,0.982,0.9833055091819699,-0.008000000000000007,0.0010000000000000009
