,death_prob,rep_prob,cancer_prob,guide,init_cells,run,missing,before,after,nj,cassiopeia,reassign_delta,nj_delta
0,0.1,0.75,0.001,smf,1,0,0,0.973,0.973,0.968,0.8273092369477911,0.0,-0.0050000000000000044
1,0.1,0.75,0.001,smf,1,2,0,0.978,0.976,0.971,0.9681978798586572,-0.0020000000000000018,-0.0050000000000000044
2,0.1,0.75,0.001,smf,10,0,0,0.491,0.495,0.501,0.8259935553168636,0.0040000000000000036,0.006000000000000005
3,0.1,0.75,0.001,smf,10,2,0,0.492,0.496,0.497,0.8064516129032258,0.0040000000000000036,0.0010000000000000009
4,0.1,0.75,0.001,smf,50,0,0,0.346,0.338,0.36,0.849,-0.007999999999999952,0.021999999999999964
5,0.1,0.75,0.001,smf,50,1,0,0.382,0.347,0.344,0.8401253918495298,-0.03500000000000003,-0.0030000000000000027
6,0.1,0.75,0.001,smf,50,2,0,0.341,0.37,0.359,0.798984771573604,0.02899999999999997,-0.01100000000000001
7,0.1,0.75,0.001,smf,100,0,0,0.365,0.355,0.353,0.8496468213925328,-0.010000000000000009,-0.0020000000000000018
8,0.1,0.75,0.001,smf,100,1,0,0.364,0.352,0.344,0.8819374369323916,-0.01200000000000001,-0.008000000000000007
9,0.1,0.75,0.001,smf,100,2,0,0.369,0.364,0.333,0.892245720040282,-0.0050000000000000044,-0.030999999999999972
